# AU: 0.72333199
# Source data: solarmax_20150604_and_20020322_SORCE_and_TIMED.dat
# File creation date: July 30, 2024

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
791.50	870411778057191.38
792.50	869408182054020.25
793.50	868425851531814.75
794.50	867438279987436.88
795.50	866476525967464.00
796.50	865613718331872.25
797.50	864746009176708.12
798.50	863873398501971.25
799.50	862895239655366.50
800.50	861862293279430.12
801.50	860824069601847.38
802.50	859786210446992.38
803.50	858808049879990.62
804.50	857824787769110.75
805.50	856836424114353.25
806.50	855916197098116.38
807.50	855080674481714.75
808.50	854240453920980.12
809.50	853395535415912.38
810.50	852503464285222.00
811.50	851595963682957.00
812.50	850683634184226.38
813.50	849755627334132.50
814.50	848734883157576.25
815.50	847709067620345.12
816.50	846678180722438.88
817.50	845705816603129.75
818.50	844824044600540.25
819.50	843937590192256.00
820.50	843046453378277.00
821.50	842231078876556.50
822.50	841454586932508.62
823.50	840673713887950.50
824.50	839888459742882.25
825.50	839013784536048.25
826.50	838122911790058.50
827.50	837227423815589.00
828.50	836304957360361.12
829.50	835080351297369.25
830.50	833850358792783.00
831.50	832614979846602.25
832.50	831338624266203.12
833.50	829943959087491.25
834.50	828543551209000.38
835.50	827137400630731.12
836.50	825777668866889.12
837.50	824501240843402.38
838.50	823219407184250.25
839.50	821932167889432.62
840.50	820519227579199.50
841.50	818964781754685.50
842.50	817404321257941.00
843.50	815837846088966.12
844.50	814160801095079.62
845.50	812388322848832.12
846.50	810609371385290.25
847.50	808823946704454.38
848.50	807254242871313.50
849.50	805839678332943.62
850.50	804419543566591.62
851.50	802993838572257.25
852.50	801842553700417.62
853.50	800881153269133.25
854.50	799915295946913.00
855.50	798944981733757.00
856.50	798183967267437.50
857.50	797580438329513.25
858.50	796973328184588.38
859.50	796362636832662.75
860.50	795776923821006.12
861.50	795215167434263.25
862.50	794649959995342.12
863.50	794081301504242.38
864.50	793650582689629.75
865.50	793404381647816.00
866.50	793155490260933.12
867.50	792903908528981.12
868.50	792763412450116.88
869.50	792862540409131.38
870.50	792959796791054.38
871.50	793055181595885.88
872.50	793127465485113.88
873.50	793094061215130.88
874.50	793058499113702.62
875.50	793020779180828.88
876.50	792980901416510.25
877.50	792700716804517.88
878.50	792417831571299.75
879.50	792132245716855.88
880.50	791843959241186.25
881.50	791576824868133.75
882.50	791313391782785.00
883.50	791047326580626.38
884.50	790778629261657.50
885.50	790433095636408.12
886.50	790026393161999.62
887.50	789616759287932.50
888.50	789204194014207.00
889.50	788756806008975.12
890.50	788228248341637.00
891.50	787696512011886.25
892.50	787161597019723.00
893.50	786623503365147.50
894.50	785898402821011.62
895.50	785169712595509.38
896.50	784437432688641.00
897.50	783701563100406.00
898.50	782883232850186.88
899.50	782022247220969.75
900.50	781157409878374.25
901.50	780288720822399.75
902.50	779454624425092.75
903.50	778702426055126.12
904.50	777946650795278.62
905.50	777187298645550.38
906.50	776424369605941.25
907.50	775698713751794.50
908.50	774972649160474.62
909.50	774243104483267.62
910.50	773510079720173.62
911.50	772756088069977.62
912.50	771981758488002.62
913.50	771203873586250.25
914.50	770422433364720.50
915.50	769631989203080.75
916.50	768765509935377.50
917.50	767895305304350.62
918.50	767021375310000.00
919.50	766143719952325.50
920.50	765332236568862.88
921.50	764565805184120.00
922.50	763795905839776.62
923.50	763022538535832.88
924.50	762253214321657.25
925.50	761556465598660.25
926.50	760856429459284.00
927.50	760153105903528.75
928.50	759446494931394.75
929.50	758652204279038.50
930.50	757788065079130.50
931.50	756920314201474.50
932.50	756048951646070.62
933.50	755173977412919.12
934.50	754322375525407.38
935.50	753467219710866.88
936.50	752608509969297.38
937.50	751746246300699.00
938.50	750930327885969.12
939.50	750182844532335.75
940.50	749432066613035.88
941.50	748677994128069.00
942.50	747920627077436.00
943.50	747351847560184.25
944.50	746828201590499.50
945.50	746301769486783.25
946.50	745772551249035.25
947.50	745189253207358.12
948.50	744312089861103.00
949.50	743431418570157.75
950.50	742547239334522.75
951.50	741659552154198.00
952.50	740768357029183.25
953.50	740076996075666.50
954.50	739446834339429.50
955.50	738813725865458.25
956.50	738177670653752.50
957.50	737555934336852.00
958.50	737106044398688.88
959.50	736653608433729.12
960.50	736198626441973.12
961.50	735741098423420.50
962.50	735329005998245.12
963.50	734989593395613.50
964.50	734647890412513.88
965.50	734303897048945.62
966.50	733957613304908.75
967.50	733564968082454.62
968.50	733148212280479.00
969.50	732729030123340.75
970.50	732307421611040.50
971.50	731883386743577.88
972.50	731329498015927.88
973.50	730761828824810.38
974.50	730191448428849.12
975.50	729618356828044.00
976.50	729023080320174.62
977.50	728314588736880.62
978.50	727603120050777.88
979.50	726888674261866.38
980.50	726171251370145.38
981.50	725445041653966.38
982.50	724705042520609.00
983.50	723962032460286.38
984.50	723216011472998.50
985.50	722466979558745.62
986.50	721689995554652.62
987.50	720886904109087.00
988.50	720080704496263.12
989.50	719271396716180.25
990.50	718458980768838.62
991.50	717625755798545.62
992.50	716781048740119.62
993.50	715933181006779.75
994.50	715082152598525.50
995.50	714227963515357.50
996.50	713441392500024.38
997.50	712669515306975.88
998.50	711894655007359.62
999.50	711116811601175.25
1000.50	710335985088422.75
1001.50	709683553429431.88
1002.50	709041407424861.75
1003.50	708396566624028.00
1004.50	707749031026930.88
1005.50	707098800633570.38
1006.50	706546498248882.62
1007.50	705992718415689.88
1008.50	705436445751851.00
1009.50	704877680257366.00
1010.50	704312809112993.38
1011.50	703676726491535.12
1012.50	703038008028278.62
1013.50	702396653723223.12
1014.50	701752663576368.62
1015.50	701110060842915.62
1016.50	700511143187388.75
1017.50	699909688736227.75
1018.50	699305697489432.62
1019.50	698699169447003.12
1020.50	698094339788038.50
1021.50	697529845962234.12
1022.50	696962907565284.62
1023.50	696393524597189.62
1024.50	695821697057949.50
1025.50	695243944711750.12
1026.50	694628517641956.88
1027.50	694010570585539.62
1028.50	693390103542498.12
1029.50	692767116512832.75
1030.50	692136049561229.50
1031.50	691415261651445.00
1032.50	690691773909158.25
1033.50	689965586334369.62
1034.50	689236698927078.88
1035.50	688504872221924.00
1036.50	687746615256555.88
1037.50	686985612207529.38
1038.50	686221863074844.62
1039.50	685455367858501.38
1040.50	684686126558499.62
1041.50	683912452226564.12
1042.50	683135901474994.25
1043.50	682356601156477.00
1044.50	681574551271012.12
1045.50	680789751818599.38
1046.50	679932401151052.38
1047.50	679058859259554.75
1048.50	678182408991362.12
1049.50	677303050346474.88
1050.50	676420783324892.50
