#Mars-scaled Solar Photon Irradiance from LISIRD...http://lasp.colorado.edu/lisird/whi_ref_spectra/
# using SORCE solstice and SORCE solar spectral irradiance
# interpolated to half-wavelengths by Eryn 2/18/19
#Wavelength [nm]	Spectral Irradiance [ph/cm2/s/nm]
890.5	154906421658382.88
891.5	154790235224757.4
892.5	154674048791131.94
893.5	154557862357506.47
894.5	154412453091948.88
895.5	154267043826391.28
896.5	154121634560833.7
897.5	153976225295276.1
898.5	153816349100048.44
899.5	153649347402147.5
900.5	153482345704246.53
901.5	153315344006345.56
902.5	153152135591789.4
903.5	152997370291775.0
904.5	152842604991760.56
905.5	152687839691746.16
906.5	152533074391731.75
907.5	152386090170534.47
908.5	152239691621936.34
909.5	152093293073338.22
910.5	151946894524740.12
911.5	151796857307764.6
912.5	151643324115289.2
913.5	151489790922813.8
914.5	151336257730338.4
915.5	151181584018497.0
916.5	151011757692221.06
917.5	150841931365945.16
918.5	150672105039669.22
919.5	150502278713393.3
920.5	150346032941872.88
921.5	150199224505013.06
922.5	150052416068153.25
923.5	149905607631293.44
924.5	149758609404506.2
925.5	149609692190675.1
926.5	149460774976843.97
927.5	149311857763012.84
928.5	149162940549181.72
929.5	149003289528515.38
930.5	148835204802478.5
931.5	148667120076441.6
932.5	148499035350404.72
933.5	148330950624367.8
934.5	148161498278839.38
935.5	147992045933310.94
936.5	147822593587782.53
937.5	147653141242254.1
938.5	147492665403059.3
939.5	147345106975417.84
940.5	147197548547776.38
941.5	147049990120134.9
942.5	146902431692493.44
943.5	146782316846924.88
944.5	146669062896874.56
945.5	146555808946824.22
946.5	146442554996773.9
947.5	146323618290540.53
948.5	146172479299269.78
949.5	146021340307999.06
950.5	145870201316728.3
951.5	145719062325457.6
952.5	145567923334186.84
953.5	145439441863473.12
954.5	145318115399251.1
955.5	145196788935029.06
956.5	145075462470807.03
957.5	144958123882618.56
958.5	144881107152102.66
959.5	144804090421586.72
960.5	144727073691070.8
961.5	144650056960554.9
962.5	144577050367134.5
963.5	144510316039427.6
964.5	144443581711720.7
965.5	144376847384013.8
966.5	144310113056306.9
967.5	144233314425186.9
968.5	144151558749102.28
969.5	144069803073017.66
970.5	143988047396933.0
971.5	143906291720848.38
972.5	143799852008409.97
973.5	143691265858027.75
974.5	143582679707645.53
975.5	143474093557263.28
976.5	143361082096066.22
977.5	143222993873584.9
978.5	143084905651103.6
979.5	142946817428622.25
980.5	142808729206140.94
981.5	142667795579501.44
982.5	142521577630853.9
983.5	142375359682206.38
984.5	142229141733558.84
985.5	142082923784911.28
986.5	141931160606135.78
987.5	141774278753395.97
988.5	141617396900656.16
989.5	141460515047916.38
990.5	141303633195176.56
991.5	141141100089578.44
992.5	140975907570870.53
993.5	140810715052162.6
994.5	140645522533454.69
995.5	140480330014746.78
996.5	140325560176835.97
997.5	140173396009124.44
998.5	140021231841412.9
999.5	139869067673701.38
1000.5	139716903505989.84
1001.5	139583954762406.05
1002.5	139452906445384.33
1003.5	139321858128362.62
1004.5	139190809811340.9
1005.5	139059761494319.2
1006.5	138949508751023.81
1007.5	138839466064028.69
1008.5	138729423377033.56
1009.5	138619380690038.45
1010.5	138508674662546.61
1011.5	138385365165617.06
1012.5	138262055668687.52
1013.5	138138746171757.97
1014.5	138015436674828.4
1015.5	137892346474441.62
1016.5	137771778184296.53
1017.5	137651209894151.45
1018.5	137530641604006.36
1019.5	137410073313861.28
1020.5	137290124751138.45
1021.5	137176442321240.7
1022.5	137062759891342.97
1023.5	136949077461445.22
1024.5	136835395031547.48
1025.5	136720893535452.39
1026.5	136598110370028.55
1027.5	136475327204604.7
1028.5	136352544039180.86
1029.5	136229760873757.02
1030.5	136105988984506.8
1031.5	135966727088643.31
1032.5	135827465192779.83
1033.5	135688203296916.36
1034.5	135548941401052.88
1035.5	135409561358468.22
1036.5	135258484790487.61
1037.5	135107408222507.0
1038.5	134956331654526.38
1039.5	134805255086545.77
1040.5	134654178518565.16
1041.5	134501324338277.34
1042.5	134348336359213.72
1043.5	134195348380150.1
1044.5	134042360401086.47
1045.5	133889372422022.84
1046.5	133723728760465.28
1047.5	133555674492718.38
1048.5	133387620224971.48
1049.5	133219565957224.6
1050.5	133051511689477.69
1051.5	132863362890506.08
1052.5	132667781867656.83
1053.5	132472200844807.56
1054.5	132276619821958.31
1055.5	132081038799109.06
1056.5	131877492711618.83
1057.5	131668636581034.61
1058.5	131459780450450.39
1059.5	131250924319866.16
1060.5	131042068189281.94
1061.5	130831068213277.89
1062.5	130617551549172.31
1063.5	130404034885066.75
1064.5	130190518220961.17
1065.5	129977001556855.6
1066.5	129764967029611.1
1067.5	129556561182267.88
1068.5	129348155334924.66
1069.5	129139749487581.44
1070.5	128931343640238.22
1071.5	128725265438767.69
1072.5	128538020008448.98
1073.5	128350774578130.27
1074.5	128163529147811.55
1075.5	127976283717492.84
1076.5	127789038287174.12
1077.5	127627343239081.52
1078.5	127468175151868.4
1079.5	127309007064655.3
1080.5	127149838977442.19
1081.5	126990670890229.08
1082.5	126851984202813.83
1083.5	126722499303713.56
1084.5	126593014404613.3
1085.5	126463529505513.03
1086.5	126334044606412.77
1087.5	126215848313268.06
1088.5	126110903861897.3
1089.5	126005959410526.55
1090.5	125901014959155.78
1091.5	125796070507785.02
1092.5	125694018958731.16
1093.5	125602850232679.02
1094.5	125511681506626.88
1095.5	125420512780574.73
1096.5	125329344054522.6
